ザ・モール仙台長町 Ｐａｒｔ２店,444,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,022-304-3552,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台大野田店,1122,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,022-746-8835,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
TSUTAYA 東仙台店,2031,09:00～24:00,09:00～24:00,09:00～24:00,09:00～24:00,022-297-2022,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
仙台駅東口店,328,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,022-293-1501,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール石巻店,1140,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,0225-92-1359,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
秋田東通店,1236,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,018-884-7751,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール秋田店,627,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,018-889-6588,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
秋田アルス店,486,07:00～22:00,07:00～22:30,07:00～22:30,07:00～22:00,018-884-7011,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
秋田大学医学部附属病院店,912,07:00～20:00,07:00～20:00,09:00～19:00,09:00～19:00,018-825-5182,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
イオンモール大曲店,876,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,0187-66-3619,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
山形エスパル店,1005,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,023-628-1315,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
山形馬見ヶ崎店,1006,07:30～24:00,07:30～24:00,07:30～24:00,07:30～24:00,023-682-0601,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
山形県立中央病院店,1077,07:00～20:00,07:00～20:00,09:00～20:00,09:00～20:00,023-686-9951,
イオンモール天童店,1201,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,023-652-0607,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
酒田みずほ店,1252,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,0234-21-0161,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
福島県立医科大学附属病院店,771,07:00～20:00,07:00～20:00,09:00～19:00,09:00～19:00,024-547-2131,
福島エスパル店,1041,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,024-525-8651,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
郡山安積店,1084,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,024-937-1855,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
郡山コスモス通り店,1296,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,024-962-9357,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
郡山モルティ店,236,07:30～21:00,07:30～21:00,07:30～21:00,07:30～21:00,024-921-4556,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
郡山駅店,1055,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,024-927-5770,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
土浦店,854,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,029-825-1211,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール土浦店,927,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,029-835-8679,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
ひたち野うしく店,947,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,029-878-2105,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
龍ケ崎店,1137,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,0297-61-5170,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
取手ボックスヒル店,270,07:00～22:00,07:00～22:00,07:00～22:00,08:00～22:00,0297-72-1710,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
守谷サービスエリア（上り線）店,1165,06:30～22:00,06:30～22:00,06:30～22:00,06:30～22:00,0297-47-8067,"docomo, FLET’S(東), Softbank"
守谷サービスエリア(下り線）店,1307,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,0297-47-1301,"docomo, FLET’S(東)"
西友楽市守谷店,481,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,0297-21-1215,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール下妻店,879,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,0296-38-5576,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
つくばキュート店,602,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,029-863-1730,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
つくば駅店,894,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,029-868-3980,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
つくば店,659,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,029-850-1917,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモールつくば店,1134,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,029-839-2212,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イーアスつくば店,870,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,029-868-7175,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
つくば研究学園店,847,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,029-861-1323,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
筑波大学中央図書館店,831,08:00～20:00,08:00～20:00,10:00～18:00,10:00～18:00,029-860-3131,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
筑波大学附属病院店,858,07:30～19:30,07:30～19:30,10:00～18:00,10:00～18:00,029-860-2780,
友部サービスエリア（上り線）店,1030,07:00～21:00,07:00～21:00,07:00～21:00,07:00～21:00,0296-70-5103,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
友部サービスエリア（下り線）店,1031,07:00～21:00,07:00～21:00,07:00～21:00,07:00～21:00,0296-70-5234,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
水戸エクセル5階店,1331,10:00～20:00,10:00～20:00,10:00～20:00,10:00～20:00,029-303-2151,"docomo, FLET’S(東), Softbank"
水戸エクセル店,1227,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,029-300-1611,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
水戸駅南中央通り店,1196,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,029-304-5616,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
水戸　県庁前店,818,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,029-305-3825,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
水戸赤塚店,1103,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,029-309-0177,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
ひたちなか店,722,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,029-354-1612,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
神栖店,1264,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,0299-91-1501,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
常陸多賀店,1161,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,0294-25-6355,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール水戸内原店,643,10:00～23:00,10:00～23:00,10:00～23:00,10:00～23:00,029-259-1129,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
宇都宮上戸祭店,773,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,028-600-4403,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
宇都宮パルコ店,230,08:00～21:00,08:00～21:00,08:00～21:00,09:00～21:00,028-632-8301,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
ＦＫＤ宇都宮インターパーク店,510,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,028-657-6121,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
宇都宮インターパークステージ店,1159,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,028-657-7811,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
獨協医科大学病院店,688,07:00～22:00,07:00～22:00,07:00～22:00,08:00～20:00,0282-85-0310,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
宇都宮城東店,1174,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,028-610-1288,"STARBUCKS, Softbank, au, Wi2 300"
宇都宮福田屋店,217,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,028-624-1381,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
宇都宮パセオ店,522,06:30～22:00,06:30～22:00,06:30～22:00,06:30～22:00,028-627-8401,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
宇都宮ゆいの杜店,1278,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,028-670-8100,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
宇都宮イトーヨーカドー店,574,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,028-613-0831,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
おやまゆうえんハーヴェストウォーク店,755,10:00～23:00,10:00～23:00,10:00～23:00,10:00～23:00,0285-20-1707,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
ヴァル小山店,1053,06:30～22:00,06:30～22:00,06:30～22:00,07:30～22:00,0285-20-5201,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
小山店,992,08:00～24:00,08:00～24:00,08:00～24:00,08:00～24:00,0285-31-0332,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール佐野新都市店,491,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,0283-20-4128,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
佐野プレミアム・アウトレット店,458,09:30～20:30,09:30～20:30,09:30～20:30,09:30～20:30,0283-27-3033,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
佐野プレミアム・アウトレット プレイグラウンド店,661,09:30～20:30,09:30～20:30,09:30～20:30,09:30～20:30,0283-27-2161,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
自治医科大学附属病院店,874,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,0285-40-0127,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
高崎貝沢店,833,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,027-370-0575,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
高崎駅ビル モントレー店,231,07:00～22:00,07:00～22:30,07:00～22:30,07:00～22:00,027-326-4919,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イーサイト高崎店,1020,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,027-310-1220,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
高崎上中居店,1240,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,027-360-5060,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール高崎店,710,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,027-310-9051,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
カインズホーム前橋吉岡店,603,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,0279-30-6381,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
けやきウォーク前橋店,749,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,027-210-6685,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
ベイシア西部モール店,1228,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,0270-20-1557,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
